Layer,NodesPerLayer,BatchSize,Epoch,Optimizer,Accuracy
3,90,32,50,Adam,0.723433256149292
3,90,64,50,Adam,0.7574931979179382
3,90,128,50,Adam,0.7329699993133545
3,90,256,50,Adam,0.7452316284179688
3,90,512,50,Adam,0.7329699993133545
3,100,16,50,Adam,0.7534059882164001
3,100,32,50,Adam,0.7370572090148926
3,100,64,50,Adam,0.7452316284179688
3,100,128,50,Adam,0.7411444187164307
3,100,256,50,Adam,0.7356948256492615
3,100,512,50,Adam,0.7452316284179688
1,30,16,100,Adam,0.8215258717536926
1,30,32,100,Adam,0.8065395355224609
1,30,64,100,Adam,0.7683923840522766
1,30,128,100,Adam,0.7861035466194153
1,30,256,100,Adam,0.6198909878730774
1,30,512,100,Adam,0.7098092436790466
1,40,16,100,Adam,0.7956403493881226
1,40,32,100,Adam,0.7888283133506775
1,40,64,100,Adam,0.7901907563209534
1,40,128,100,Adam,0.7724795937538147
1,40,256,100,Adam,0.7166212797164917
1,40,512,100,Adam,0.7438691854476929
1,50,16,100,Adam,0.8228882551193237
1,50,32,100,Adam,0.7901907563209534
1,50,64,100,Adam,0.7983651161193848
1,50,128,100,Adam,0.776566743850708
1,50,256,100,Adam,0.7302452325820923
1,50,512,100,Adam,0.7425068020820618
1,60,16,100,Adam,0.7316076159477234
1,60,32,100,Adam,0.776566743850708
1,60,64,100,Adam,0.7915531396865845
1,60,128,100,Adam,0.7711171507835388
1,60,256,100,Adam,0.7506812214851379
1,60,512,100,Adam,0.7547683715820312
1,70,16,100,Adam,0.8188011050224304
1,70,32,100,Adam,0.7915531396865845
1,70,64,100,Adam,0.8024523258209229
1,70,128,100,Adam,0.7929155230522156
1,70,256,100,Adam,0.7656675577163696
1,70,512,100,Adam,0.7643051743507385
1,80,16,100,Adam,0.8283378481864929
1,80,32,100,Adam,0.7847411632537842
1,80,64,100,Adam,0.8106266856193542
1,80,128,100,Adam,0.752043604850769
1,80,256,100,Adam,0.7534059882164001
1,80,512,100,Adam,0.7683923840522766
1,90,16,100,Adam,0.832425057888031
1,90,32,100,Adam,0.8010899424552917
1,90,64,100,Adam,0.7833787202835083
1,90,128,100,Adam,0.7220708727836609
1,90,256,100,Adam,0.7588555812835693
1,90,512,100,Adam,0.7629427909851074
1,100,16,100,Adam,0.7956403493881226
1,100,32,100,Adam,0.8160762786865234
1,100,64,100,Adam,0.7970027327537537
1,100,128,100,Adam,0.8010899424552917
1,100,256,100,Adam,0.7888283133506775
1,100,512,100,Adam,0.7615804076194763
2,30,16,100,Adam,0.8133515119552612
2,30,32,100,Adam,0.7629427909851074
2,30,64,100,Adam,0.7561308145523071
2,30,128,100,Adam,0.7643051743507385
2,30,256,100,Adam,0.7929155230522156
2,30,512,100,Adam,0.5708447098731995
2,40,16,100,Adam,0.7956403493881226
2,40,32,100,Adam,0.7670300006866455
2,40,64,100,Adam,0.7574931979179382
2,40,128,100,Adam,0.7438691854476929
2,40,256,100,Adam,0.7411444187164307
2,40,512,100,Adam,0.7547683715820312
2,50,16,100,Adam,0.7697547674179077
2,50,32,100,Adam,0.8119891285896301
2,50,64,100,Adam,0.723433256149292
2,50,128,100,Adam,0.7179836630821228
2,50,256,100,Adam,0.7752043604850769
2,50,512,100,Adam,0.7411444187164307
2,60,16,100,Adam,0.8092643022537231
2,60,32,100,Adam,0.7901907563209534
2,60,64,100,Adam,0.752043604850769
2,60,128,100,Adam,0.7493187785148621
2,60,256,100,Adam,0.7370572090148926
2,60,512,100,Adam,0.7397820353507996
2,70,16,100,Adam,0.7711171507835388
2,70,32,100,Adam,0.8065395355224609
2,70,64,100,Adam,0.7465940117835999
2,70,128,100,Adam,0.7425068020820618
2,70,256,100,Adam,0.7656675577163696
2,70,512,100,Adam,0.7452316284179688
2,80,16,100,Adam,0.7901907563209534
2,80,32,100,Adam,0.779291570186615
2,80,64,100,Adam,0.7752043604850769
2,80,128,100,Adam,0.7275204062461853
2,80,256,100,Adam,0.7438691854476929
2,80,512,100,Adam,0.7724795937538147
2,90,16,100,Adam,0.7861035466194153
2,90,32,100,Adam,0.7602179646492004
2,90,64,100,Adam,0.7956403493881226
2,90,128,100,Adam,0.7779291272163391
2,90,256,100,Adam,0.7547683715820312
2,90,512,100,Adam,0.7697547674179077
2,100,16,100,Adam,0.7833787202835083
2,100,32,100,Adam,0.8010899424552917
2,100,64,100,Adam,0.7602179646492004
2,100,128,100,Adam,0.7929155230522156
2,100,256,100,Adam,0.752043604850769
2,100,512,100,Adam,0.7561308145523071
3,30,16,100,Adam,0.7956403493881226
3,30,32,100,Adam,0.807901918888092
3,30,64,100,Adam,0.747956395149231
3,30,128,100,Adam,0.7356948256492615
3,30,256,100,Adam,0.7138964533805847
3,30,512,100,Adam,0.7438691854476929
3,40,16,100,Adam,0.7915531396865845
3,40,32,100,Adam,0.7275204062461853
3,40,64,100,Adam,0.7261580228805542
3,40,128,100,Adam,0.7179836630821228
3,40,256,100,Adam,0.7356948256492615
3,40,512,100,Adam,0.7261580228805542
3,50,16,100,Adam,0.692098081111908
3,50,32,100,Adam,0.7738419771194458
3,50,64,100,Adam,0.6893733143806458
3,50,128,100,Adam,0.7397820353507996
3,50,256,100,Adam,0.7438691854476929
3,50,512,100,Adam,0.7384195923805237
3,60,16,100,Adam,0.7738419771194458
3,60,32,100,Adam,0.7343324422836304
3,60,64,100,Adam,0.7888283133506775
3,60,128,100,Adam,0.7997274994850159
3,60,256,100,Adam,0.7465940117835999
3,60,512,100,Adam,0.7384195923805237
3,70,16,100,Adam,0.7574931979179382
3,70,32,100,Adam,0.7397820353507996
3,70,64,100,Adam,0.7697547674179077
3,70,128,100,Adam,0.7384195923805237
3,70,256,100,Adam,0.7356948256492615
3,70,512,100,Adam,0.7247956395149231
3,80,16,100,Adam,0.7016348838806152
3,80,32,100,Adam,0.723433256149292
3,80,64,100,Adam,0.7547683715820312
3,80,128,100,Adam,0.7656675577163696
3,80,256,100,Adam,0.7220708727836609
3,80,512,100,Adam,0.7329699993133545
3,90,16,100,Adam,0.7806539535522461
3,90,32,100,Adam,0.752043604850769
3,90,64,100,Adam,0.7547683715820312
3,90,128,100,Adam,0.7493187785148621
3,90,256,100,Adam,0.7588555812835693
3,90,512,100,Adam,0.7452316284179688
3,100,16,100,Adam,0.7574931979179382
3,100,32,100,Adam,0.7643051743507385
3,100,64,100,Adam,0.7493187785148621
3,100,128,100,Adam,0.7493187785148621
3,100,256,100,Adam,0.7411444187164307
3,100,512,100,Adam,0.7288828492164612
1,30,16,200,Adam,0.752043604850769
1,30,32,200,Adam,0.8092643022537231
1,30,64,200,Adam,0.7929155230522156
1,30,128,200,Adam,0.8024523258209229
1,30,256,200,Adam,0.7588555812835693
1,30,512,200,Adam,0.7493187785148621
1,40,16,200,Adam,0.8283378481864929
1,40,32,200,Adam,0.8215258717536926
1,40,64,200,Adam,0.7956403493881226
1,40,128,200,Adam,0.8215258717536926
1,40,256,200,Adam,0.776566743850708
1,40,512,200,Adam,0.7724795937538147
1,50,16,200,Adam,0.8201634883880615
1,50,32,200,Adam,0.7956403493881226
1,50,64,200,Adam,0.7670300006866455
1,50,128,200,Adam,0.803814709186554
1,50,256,200,Adam,0.7970027327537537
1,50,512,200,Adam,0.776566743850708
1,60,16,200,Adam,0.8106266856193542
1,60,32,200,Adam,0.8010899424552917
1,60,64,200,Adam,0.8119891285896301
1,60,128,200,Adam,0.803814709186554
1,60,256,200,Adam,0.723433256149292
1,60,512,200,Adam,0.8092643022537231
1,70,16,200,Adam,0.7779291272163391
1,70,32,200,Adam,0.8092643022537231
1,70,64,200,Adam,0.8201634883880615
1,70,128,200,Adam,0.8133515119552612
1,70,256,200,Adam,0.7861035466194153
1,70,512,200,Adam,0.7683923840522766
1,80,16,200,Adam,0.7983651161193848
1,80,32,200,Adam,0.7929155230522156
1,80,64,200,Adam,0.8024523258209229
1,80,128,200,Adam,0.8147138953208923
1,80,256,200,Adam,0.7711171507835388
1,80,512,200,Adam,0.7915531396865845
1,90,16,200,Adam,0.8160762786865234
1,90,32,200,Adam,0.8106266856193542
1,90,64,200,Adam,0.8174387216567993
1,90,128,200,Adam,0.7820163369178772
1,90,256,200,Adam,0.7929155230522156
1,90,512,200,Adam,0.7929155230522156
1,100,16,200,Adam,0.803814709186554
1,100,32,200,Adam,0.8188011050224304
1,100,64,200,Adam,0.8147138953208923
1,100,128,200,Adam,0.7983651161193848
1,100,256,200,Adam,0.8051770925521851
1,100,512,200,Adam,0.7901907563209534
2,30,16,200,Adam,0.8092643022537231
2,30,32,200,Adam,0.776566743850708
2,30,64,200,Adam,0.7752043604850769
2,30,128,200,Adam,0.7806539535522461
2,30,256,200,Adam,0.747956395149231
2,30,512,200,Adam,0.7452316284179688
2,40,16,200,Adam,0.7629427909851074
2,40,32,200,Adam,0.7656675577163696
2,40,64,200,Adam,0.7970027327537537
2,40,128,200,Adam,0.7656675577163696
2,40,256,200,Adam,0.752043604850769
2,40,512,200,Adam,0.779291570186615
2,50,16,200,Adam,0.7724795937538147
2,50,32,200,Adam,0.7929155230522156
2,50,64,200,Adam,0.7697547674179077
2,50,128,200,Adam,0.7942779064178467
2,50,256,200,Adam,0.7724795937538147
2,50,512,200,Adam,0.7615804076194763
2,60,16,200,Adam,0.8256130814552307
2,60,32,200,Adam,0.7847411632537842
2,60,64,200,Adam,0.7574931979179382
2,60,128,200,Adam,0.7629427909851074
2,60,256,200,Adam,0.7683923840522766
2,60,512,200,Adam,0.7970027327537537
2,70,16,200,Adam,0.7588555812835693
2,70,32,200,Adam,0.8051770925521851
2,70,64,200,Adam,0.7643051743507385
2,70,128,200,Adam,0.7806539535522461
2,70,256,200,Adam,0.7629427909851074
2,70,512,200,Adam,0.7643051743507385
2,80,16,200,Adam,0.779291570186615
2,80,32,200,Adam,0.7629427909851074
2,80,64,200,Adam,0.7711171507835388
2,80,128,200,Adam,0.7752043604850769
2,80,256,200,Adam,0.7574931979179382
2,80,512,200,Adam,0.7820163369178772
2,90,16,200,Adam,0.7983651161193848
2,90,32,200,Adam,0.7915531396865845
2,90,64,200,Adam,0.7820163369178772
2,90,128,200,Adam,0.7588555812835693
2,90,256,200,Adam,0.7670300006866455
2,90,512,200,Adam,0.7901907563209534
2,100,16,200,Adam,0.7084468603134155
2,100,32,200,Adam,0.7779291272163391
2,100,64,200,Adam,0.7874659299850464
2,100,128,200,Adam,0.7888283133506775
2,100,256,200,Adam,0.7847411632537842
2,100,512,200,Adam,0.752043604850769
3,30,16,200,Adam,0.7506812214851379
3,30,32,200,Adam,0.7438691854476929
3,30,64,200,Adam,0.7874659299850464
3,30,128,200,Adam,0.7547683715820312
3,30,256,200,Adam,0.7302452325820923
3,30,512,200,Adam,0.7411444187164307
3,40,16,200,Adam,0.7602179646492004
3,40,32,200,Adam,0.747956395149231
3,40,64,200,Adam,0.747956395149231
3,40,128,200,Adam,0.7452316284179688
3,40,256,200,Adam,0.7411444187164307
3,40,512,200,Adam,0.7574931979179382
3,50,16,200,Adam,0.7670300006866455
3,50,32,200,Adam,0.7574931979179382
3,50,64,200,Adam,0.7779291272163391
3,50,128,200,Adam,0.7806539535522461
3,50,256,200,Adam,0.7643051743507385
3,50,512,200,Adam,0.7724795937538147
3,60,16,200,Adam,0.7806539535522461
3,60,32,200,Adam,0.7643051743507385
3,60,64,200,Adam,0.7370572090148926
3,60,128,200,Adam,0.7847411632537842
3,60,256,200,Adam,0.7438691854476929
3,60,512,200,Adam,0.747956395149231
3,70,16,200,Adam,0.7561308145523071
3,70,32,200,Adam,0.7711171507835388
3,70,64,200,Adam,0.7806539535522461
3,70,128,200,Adam,0.752043604850769
3,70,256,200,Adam,0.7425068020820618
3,70,512,200,Adam,0.7547683715820312
3,80,16,200,Adam,0.7888283133506775
3,80,32,200,Adam,0.7711171507835388
3,80,64,200,Adam,0.7643051743507385
3,80,128,200,Adam,0.7547683715820312
3,80,256,200,Adam,0.7574931979179382
3,80,512,200,Adam,0.7465940117835999
3,90,16,200,Adam,0.7820163369178772
3,90,32,200,Adam,0.7670300006866455
3,90,64,200,Adam,0.7615804076194763
3,90,128,200,Adam,0.7683923840522766
3,90,256,200,Adam,0.7425068020820618
3,90,512,200,Adam,0.7670300006866455
3,100,16,200,Adam,0.7724795937538147
3,100,32,200,Adam,0.7465940117835999
3,100,64,200,Adam,0.7820163369178772
3,100,128,200,Adam,0.7833787202835083
3,100,256,200,Adam,0.747956395149231
3,100,512,200,Adam,0.747956395149231
1,30,16,300,Adam,0.7970027327537537
1,30,32,300,Adam,0.8133515119552612
1,30,64,300,Adam,0.8228882551193237
1,30,128,300,Adam,0.7820163369178772
1,30,256,300,Adam,0.7752043604850769
1,30,512,300,Adam,0.7425068020820618
1,40,16,300,Adam,0.7956403493881226
1,40,32,300,Adam,0.7847411632537842
1,40,64,300,Adam,0.8228882551193237
1,40,128,300,Adam,0.776566743850708
1,40,256,300,Adam,0.8010899424552917
1,40,512,300,Adam,0.7888283133506775
1,50,16,300,Adam,0.7847411632537842
1,50,32,300,Adam,0.8242506980895996
1,50,64,300,Adam,0.8065395355224609
1,50,128,300,Adam,0.7997274994850159
1,50,256,300,Adam,0.7956403493881226
1,50,512,300,Adam,0.776566743850708
1,60,16,300,Adam,0.7942779064178467
1,60,32,300,Adam,0.8297002911567688
1,60,64,300,Adam,0.8024523258209229
1,60,128,300,Adam,0.7983651161193848
1,60,256,300,Adam,0.7929155230522156
1,60,512,300,Adam,0.7697547674179077
1,70,16,300,Adam,0.7656675577163696
1,70,32,300,Adam,0.8092643022537231
1,70,64,300,Adam,0.7970027327537537
1,70,128,300,Adam,0.807901918888092
1,70,256,300,Adam,0.7724795937538147
1,70,512,300,Adam,0.776566743850708
1,80,16,300,Adam,0.8201634883880615
1,80,32,300,Adam,0.8256130814552307
1,80,64,300,Adam,0.7956403493881226
1,80,128,300,Adam,0.8051770925521851
1,80,256,300,Adam,0.8160762786865234
1,80,512,300,Adam,0.8160762786865234
1,90,16,300,Adam,0.7874659299850464
1,90,32,300,Adam,0.8174387216567993
1,90,64,300,Adam,0.8215258717536926
1,90,128,300,Adam,0.8310626745223999
1,90,256,300,Adam,0.8051770925521851
1,90,512,300,Adam,0.7915531396865845
1,100,16,300,Adam,0.776566743850708
1,100,32,300,Adam,0.8065395355224609
1,100,64,300,Adam,0.8297002911567688
1,100,128,300,Adam,0.7942779064178467
1,100,256,300,Adam,0.7888283133506775
1,100,512,300,Adam,0.7697547674179077
2,30,16,300,Adam,0.7506812214851379
2,30,32,300,Adam,0.7779291272163391
2,30,64,300,Adam,0.7574931979179382
2,30,128,300,Adam,0.7329699993133545
2,30,256,300,Adam,0.779291570186615
2,30,512,300,Adam,0.7356948256492615
2,40,16,300,Adam,0.7942779064178467
2,40,32,300,Adam,0.7983651161193848
2,40,64,300,Adam,0.7724795937538147
2,40,128,300,Adam,0.7615804076194763
2,40,256,300,Adam,0.7561308145523071
2,40,512,300,Adam,0.7901907563209534
2,50,16,300,Adam,0.7997274994850159
2,50,32,300,Adam,0.8024523258209229
2,50,64,300,Adam,0.7711171507835388
2,50,128,300,Adam,0.7683923840522766
2,50,256,300,Adam,0.7806539535522461
2,50,512,300,Adam,0.8010899424552917
2,60,16,300,Adam,0.7588555812835693
2,60,32,300,Adam,0.7574931979179382
2,60,64,300,Adam,0.7806539535522461
2,60,128,300,Adam,0.7711171507835388
2,60,256,300,Adam,0.7683923840522766
2,60,512,300,Adam,0.7711171507835388
2,70,16,300,Adam,0.7901907563209534
2,70,32,300,Adam,0.7820163369178772
2,70,64,300,Adam,0.7670300006866455
2,70,128,300,Adam,0.8119891285896301
2,70,256,300,Adam,0.7724795937538147
2,70,512,300,Adam,0.7547683715820312
2,80,16,300,Adam,0.7901907563209534
2,80,32,300,Adam,0.7888283133506775
2,80,64,300,Adam,0.7602179646492004
2,80,128,300,Adam,0.7847411632537842
2,80,256,300,Adam,0.7534059882164001
2,80,512,300,Adam,0.7629427909851074
2,90,16,300,Adam,0.7588555812835693
2,90,32,300,Adam,0.7915531396865845
2,90,64,300,Adam,0.7929155230522156
2,90,128,300,Adam,0.7561308145523071
2,90,256,300,Adam,0.7574931979179382
2,90,512,300,Adam,0.7534059882164001
2,100,16,300,Adam,0.7656675577163696
2,100,32,300,Adam,0.7915531396865845
2,100,64,300,Adam,0.803814709186554
2,100,128,300,Adam,0.7888283133506775
2,100,256,300,Adam,0.7820163369178772
2,100,512,300,Adam,0.7711171507835388
3,30,16,300,Adam,0.8065395355224609
3,30,32,300,Adam,0.7670300006866455
3,30,64,300,Adam,0.7724795937538147
3,30,128,300,Adam,0.7602179646492004
3,30,256,300,Adam,0.7656675577163696
3,30,512,300,Adam,0.7779291272163391
3,40,16,300,Adam,0.7615804076194763
3,40,32,300,Adam,0.7425068020820618
